"ID";"Name";"Sex";"Age";"Height";"Weight";"Team";"NOC";"Games";"Year";"Season";"City";"Sport";"Event";"Medal"
4096;"Ionu Andrei";"M";24;194;105;"Romania";"ROU";"2010 Winter";1999;"Winter";"Vancouver";"Bobsleigh";"Bobsleigh Men's Four";NA
4096;"Ionu Andrei";"M";24;194;105;"Romania";"ROU";"2010 Winter";2020;"Winter";"Vancouver";"Bobsleigh";"Bobsleigh Men's Four";NA
