98;"Hctor Abaunza";"M";30;169;75;"Mexico";"MEX";"1968 Summer";1968;"Summer";"Mexico City";"Fencing";"Fencing Men's Foil, Individual";NA
226;"Sanad Bushara Abdel-Nadif";"M";NA;NA;NA;"Sudan";"SUD";"1972 Summer";1972;"Summer";"Munich";"Football";"Football Men's Football";NA
354;"Bekzod Makhamadzhonovich Abdurakhmonov";"M";26;172;74;"Uzbekistan";"UZB";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Wrestling";"Wrestling Men's Middleweight, Freestyle";NA
482;"Taher Abou Zeid Sayid Amer";"M";22;NA;NA;"Egypt";"EGY";"1984 Summer";1984;"Summer";"Los Angeles";"Football";"Football Men's Football";NA
610;"Ginko Abukawa-Chiba";"F";22;148;46;"Japan";"JPN";"1960 Summer";1960;"Summer";"Roma";"Gymnastics";"Gymnastics Women's Individual All-Around";NA
738;"Crox Ernesto Acua Rodrguez";"M";18;192;89;"Venezuela";"VEN";"2008 Summer";2008;"Summer";"Beijing";"Swimming";"Swimming Men's 200 metres Freestyle";NA
866;"Orhan Ada";"M";20;NA;NA;"Turkey";"TUR";"1936 Summer";1936;"Summer";"Berlin";"Fencing";"Fencing Men's Sabre, Individual";NA
994;"Ricardo Adolfo";"M";NA;NA;NA;"Philippines";"PHI";"1948 Summer";1948;"Summer";"London";"Boxing";"Boxing Men's Flyweight";NA
98;"Hctor Abaunza";"M";30;169;75;"Mexico";"MEX";"1968 Summer";1968;"Summer";"Mexico City";"Fencing";"Fencing Men's Foil, Individual";NA
226;"Sanad Bushara Abdel-Nadif";"M";NA;NA;NA;"Sudan";"SUD";"1972 Summer";1972;"Summer";"Munich";"Football";"Football Men's Football";NA
354;"Bekzod Makhamadzhonovich Abdurakhmonov";"M";26;172;74;"Uzbekistan";"UZB";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Wrestling";"Wrestling Men's Middleweight, Freestyle";NA
482;"Taher Abou Zeid Sayid Amer";"M";22;NA;NA;"Egypt";"EGY";"1984 Summer";1984;"Summer";"Los Angeles";"Football";"Football Men's Football";NA
610;"Ginko Abukawa-Chiba";"F";22;148;46;"Japan";"JPN";"1960 Summer";1960;"Summer";"Roma";"Gymnastics";"Gymnastics Women's Individual All-Around";NA
738;"Crox Ernesto Acua Rodrguez";"M";18;192;89;"Venezuela";"VEN";"2008 Summer";2008;"Summer";"Beijing";"Swimming";"Swimming Men's 200 metres Freestyle";NA
866;"Orhan Ada";"M";20;NA;NA;"Turkey";"TUR";"1936 Summer";1936;"Summer";"Berlin";"Fencing";"Fencing Men's Sabre, Individual";NA
994;"Ricardo Adolfo";"M";NA;NA;NA;"Philippines";"PHI";"1948 Summer";1948;"Summer";"London";"Boxing";"Boxing Men's Flyweight";NA
1122;"Andre Kirk Agassi";"M";26;180;80;"United States";"USA";"1996 Summer";1996;"Summer";"Atlanta";"Tennis";"Tennis Men's Singles";"Gold"
