665;"Gilbert Achard-Picard";"M";29;NA;NA;"France-2";"FRA";"1948 Winter";1948;"Winter";"Sankt Moritz";"Bobsleigh";"Bobsleigh Men's Four";NA
4761;"Ahmed Arab";"M";27;172;72;"France";"FRA";"1960 Summer";1960;"Summer";"Roma";"Football";"Football Men's Football";NA
8857;"Alain Baxter";"M";24;179;75;"Great Britain";"GBR";"1998 Winter";1998;"Winter";"Nagano";"Alpine Skiing";"Alpine Skiing Men's Giant Slalom";NA
12953;"Daniel George ""Dan"" Bolduc";"M";22;NA;NA;"United States";"USA";"1976 Winter";1976;"Winter";"Innsbruck";"Ice Hockey";"Ice Hockey Men's Ice Hockey";NA
17049;"Byeon Yeong-Jun";"M";28;175;59;"South Korea";"KOR";"2012 Summer";2012;"Summer";"London";"Athletics";"Athletics Men's 20 kilometres Walk";NA
21145;"Robert Choquette";"M";21;165;50;"Canada";"CAN";"1976 Summer";1976;"Summer";"Montreal";"Rowing";"Rowing Men's Coxed Eights";NA
25241;"Sven-Erik Oskar Danielsson";"M";20;188;78;"Sweden";"SWE";"1980 Winter";1980;"Winter";"Lake Placid";"Cross Country Skiing";"Cross Country Skiing Men's 15 kilometres";NA
29337;"Franco Peru Donato";"M";26;165;64;"Egypt";"EGY";"2008 Summer";2008;"Summer";"Beijing";"Shooting";"Shooting Men's Skeet";NA
33433;"Carl Evans";"M";17;175;63;"New Zealand";"NZL";"2008 Summer";2008;"Summer";"Beijing";"Sailing";"Sailing Men's Two Person Dinghy";NA
37529;"Ryuji Fujita";"M";29;NA;NA;"Japan";"JPN";"1936 Summer";1936;"Summer";"Berlin";"Art Competitions";"Art Competitions Mixed Painting, Paintings";"Bronze"
41625;"Olivia Gonzlez Prez";"F";17;NA;NA;"Mexico";"MEX";"1996 Summer";1996;"Summer";"Atlanta";"Synchronized Swimming";"Synchronized Swimming Women's Team";NA
45721;"Hans Trier Hansen";"M";18;NA;NA;"Denmark";"DEN";"1912 Summer";1912;"Summer";"Stockholm";"Gymnastics";"Gymnastics Men's Team All-Around, Swedish System";"Silver"
49817;"Clarence Darrow Hooper";"M";20;190;82;"United States";"USA";"1952 Summer";1952;"Summer";"Helsinki";"Athletics";"Athletics Men's Shot Put";"Silver"
53913;"Anders Torsten Martin Jarl (Johansson-)";"M";23;NA;NA;"Sweden";"SWE";"1988 Summer";1988;"Summer";"Seoul";"Cycling";"Cycling Men's Road Race, Individual";NA
58009;"Yurie Kato";"F";29;161;48;"Japan";"JPN";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Triathlon";"Triathlon Women's Olympic Distance";NA
62105;"Nicholas Kokotaylo";"M";29;196;95;"Great Britain";"GBR";"1984 Summer";1984;"Summer";"Los Angeles";"Judo";"Judo Men's Half-Heavyweight";NA
66201;"Santiago ""Yago"" Lamela Toba";"M";23;177;79;"Spain";"ESP";"2000 Summer";2000;"Summer";"Sydney";"Athletics";"Athletics Men's Long Jump";NA
70297;"Josef Linert";"M";NA;NA;NA;"Czechoslovakia";"TCH";"1920 Summer";1920;"Summer";"Antwerpen";"Shooting";"Shooting Men's Free Rifle, Three Positions, 300 metres, Team";NA
74393;"Maiya Salakharovna Maneza";"F";26;161;63;"Kazakhstan";"KAZ";"2012 Summer";2012;"Summer";"London";"Weightlifting";"Weightlifting Women's Middleweight";"Gold"
78489;"Steven John Mellor";"M";19;190;78;"Great Britain";"GBR";"1992 Summer";1992;"Summer";"Barcelona";"Swimming";"Swimming Men's 4 x 200 metres Freestyle Relay";NA
82585;"Tony Moulay";"M";32;178;68;"France";"FRA";"2008 Summer";2008;"Summer";"Beijing";"Triathlon";"Triathlon Men's Olympic Distance";NA
86681;"Ronnie Noan";"M";23;158;51;"Papua New Guinea";"PNG";"1992 Summer";1992;"Summer";"Barcelona";"Boxing";"Boxing Men's Flyweight";NA
90777;"Katalin Plinger";"F";21;183;72;"Hungary";"HUN";"2000 Summer";2000;"Summer";"Sydney";"Handball";"Handball Women's Handball";"Silver"
94873;"Fatos Pilkati";"M";21;NA;NA;"Albania";"ALB";"1972 Summer";1972;"Summer";"Munich";"Shooting";"Shooting Mixed Free Pistol, 50 metres";NA
98969;"Abdul Rashid";"M";24;NA;NA;"Pakistan";"PAK";"1952 Summer";1952;"Summer";"Helsinki";"Athletics";"Athletics Men's 10,000 metres";NA
103065;"Matthew Spencer ""Matt"" Roy";"M";28;178;86;"United States-2";"USA";"1988 Winter";1988;"Winter";"Calgary";"Bobsleigh";"Bobsleigh Men's Two";NA
107161;"Bernard Schmied";"M";NA;NA;NA;"Switzerland";"SUI";"1952 Summer";1952;"Summer";"Helsinki";"Basketball";"Basketball Men's Basketball";NA
111257;"Surinder Singh Sodhi Shokar";"M";23;178;83;"India";"IND";"1980 Summer";1980;"Summer";"Moskva";"Hockey";"Hockey Men's Hockey";"Gold"
