2999;"Patricio Javier Almonacid Gonzlez";"M";28;166;60;"Chile";"CHI";"2008 Summer";2008;"Summer";"Beijing";"Cycling";"Cycling Men's Road Race, Individual";NA
7095;"Lszl Bakos (Brazsil)";"M";28;NA;NA;"Hungary";"HUN";"1948 Summer";1948;"Summer";"London";"Wrestling";"Wrestling Men's Lightweight, Freestyle";NA
11191;"Rajendra Bahadur Bhandari";"M";28;174;61;"Nepal";"NEP";"2004 Summer";2004;"Summer";"Athina";"Athletics";"Athletics Men's 5,000 metres";NA
15287;"Desmond Broe";"M";NA;NA;NA;"Ireland";"IRL";"1948 Summer";1948;"Summer";"London";"Art Competitions";"Art Competitions Mixed Sculpturing, Statues";NA
19383;"Toma Cerkovnik";"M";23;184;76;"Yugoslavia";"YUG";"1984 Winter";1984;"Winter";"Sarajevo";"Alpine Skiing";"Alpine Skiing Men's Slalom";NA
23479;"Russ Courtnall";"M";18;180;84;"Canada";"CAN";"1984 Winter";1984;"Winter";"Sarajevo";"Ice Hockey";"Ice Hockey Men's Ice Hockey";NA
27575;"Deng Xiaoling";"F";26;168;60;"China";"CHN";"2000 Summer";2000;"Summer";"Sydney";"Softball";"Softball Women's Softball";NA
31671;"Fredrik August ""Freddy"" Ehrstrm";"M";34;178;70;"Bella";"FIN";"1960 Summer";1960;"Summer";"Roma";"Sailing";"Sailing Mixed Two Person Keelboat";NA
35767;"Egon Fleischmann";"M";25;NA;NA;"Germany";"GER";"1960 Winter";1960;"Winter";"Squaw Valley";"Cross Country Skiing";"Cross Country Skiing Men's 50 kilometres";NA
39863;"Amaka Gessler";"F";22;181;68;"New Zealand";"NZL";"2012 Summer";2012;"Summer";"London";"Swimming";"Swimming Women's 4 x 100 metres Freestyle Relay";NA
43959;"Guo Fan";"M";26;170;60;"China";"CHN";"2012 Summer";2012;"Summer";"London";"Athletics";"Athletics Men's 4 x 100 metres Relay";NA
48055;"Melany Michelle Hernndez Torres";"F";18;165;60;"Mexico";"MEX";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Diving";"Diving Women's Springboard";NA
52151;"Stefan Ulf Arne Ingvarsson";"M";21;179;61;"Sweden";"SWE";"1968 Summer";1968;"Summer";"Mexico City";"Athletics";"Athletics Men's 20 kilometres Walk";NA
56247;"Jeffrey Lynn ""Jeff"" Julian";"M";24;172;60;"New Zealand";"NZL";"1960 Summer";1960;"Summer";"Roma";"Athletics";"Athletics Men's Marathon";NA
60343;"Kim Yeong-Ok";"F";30;168;58;"South Korea";"KOR";"2004 Summer";2004;"Summer";"Athina";"Basketball";"Basketball Women's Basketball";NA
64439;"Gennady Vladimirovich Kryuchkin";"M";21;190;87;"Soviet Union";"URS";"1980 Summer";1980;"Summer";"Moskva";"Rowing";"Rowing Men's Coxed Pairs";"Silver"
68535;"Hermenegildo Leite";"M";16;171;63;"Angola";"ANG";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Athletics";"Athletics Men's 100 metres";NA
72631;"Michael Joseph Lynch";"M";21;185;75;"Australia";"AUS";"1984 Summer";1984;"Summer";"Los Angeles";"Cycling";"Cycling Men's Road Race, Individual";NA
76727;"John Waldemar ""Johan"" Mattsson";"M";25;NA;NA;"Sweden";"SWE";"1920 Summer";1920;"Summer";"Antwerpen";"Athletics";"Athletics Men's Pole Vault";NA
80823;"Geir Anders Moen";"M";27;190;85;"Norway";"NOR";"1996 Summer";1996;"Summer";"Atlanta";"Athletics";"Athletics Men's 200 metres";NA
84919;"Jules-Albert Ndemba";"M";29;NA;78;"Cameroon";"CMR";"1984 Summer";1984;"Summer";"Los Angeles";"Judo";"Judo Men's Half-Middleweight";NA
89015;"Mojisola Oluwa";"M";23;NA;69;"Nigeria";"NGR";"1996 Summer";1996;"Summer";"Atlanta";"Weightlifting";"Weightlifting Men's Lightweight";NA
93111;"Hamish Martin Pepper";"M";25;176;82;"New Zealand";"NZL";"1996 Summer";1996;"Summer";"Atlanta";"Sailing";"Sailing Mixed One Person Dinghy";NA
