2936;"Bjrn Erik Alm";"M";30;179;88;"Sweden";"SWE";"1992 Summer";1992;"Summer";"Barcelona";"Sailing";"Sailing Mixed Three Person Keelboat";NA
7032;"Philippa June Baker (-Hogan)";"F";29;NA;NA;"New Zealand";"NZL";"1992 Summer";1992;"Summer";"Barcelona";"Rowing";"Rowing Women's Double Sculls";NA
11128;"Simon Beyeler";"M";26;170;63;"Switzerland";"SUI";"2008 Summer";2008;"Summer";"Beijing";"Shooting";"Shooting Men's Air Rifle, 10 metres";NA
15224;"Paul Brochart";"M";21;NA;NA;"Belgium";"BEL";"1920 Summer";1920;"Summer";"Antwerpen";"Athletics";"Athletics Men's 100 metres";NA
19320;"Mariusz Cendrowski";"M";22;177;63;"Poland";"POL";"2000 Summer";2000;"Summer";"Sydney";"Boxing";"Boxing Men's Light-Welterweight";NA
23416;"Tiana Michelle Coudray";"F";23;163;57;"United States";"USA";"2012 Summer";2012;"Summer";"London";"Equestrianism";"Equestrianism Mixed Three-Day Event, Individual";NA
27512;"Gerhard Dempf";"M";25;195;90;"Germany";"GER";"2004 Summer";2004;"Summer";"Athina";"Judo";"Judo Men's Middleweight";NA
31608;"Claes Robert Herman Vidarsson Egnell";"M";32;NA;NA;"Sweden";"SWE";"1948 Summer";1948;"Summer";"London";"Shooting";"Shooting Men's Rapid-Fire Pistol, 25 metres";NA
35704;"Eric Joseph Flaim";"M";20;173;73;"United States";"USA";"1988 Winter";1988;"Winter";"Calgary";"Speed Skating";"Speed Skating Men's 1,000 metres";NA
39800;"Carlo Gerosa";"M";23;180;82;"Italy";"ITA";"1988 Winter";1988;"Winter";"Calgary";"Alpine Skiing";"Alpine Skiing Men's Super G";NA
43896;"Alpaslan Gne";"M";NA;NA;NA;"Turkey";"TUR";"1956 Summer";1956;"Summer";"Stockholm";"Equestrianism";"Equestrianism Mixed Jumping, Individual";NA
47992;"Jos Bernardo Hernndez Villaseor";"M";26;173;59;"Mexico";"MEX";"1968 Summer";1968;"Summer";"Mexico City";"Football";"Football Men's Football";NA
