517;"Glen Abrahams Martnez";"M";22;179;72;"Costa Rica";"CRC";"1984 Summer";1984;"Summer";"Los Angeles";"Athletics";"Athletics Men's 100 metres";NA
4613;"Nataliya Nikolayevna Antyukh";"F";23;182;69;"Russia";"RUS";"2004 Summer";2004;"Summer";"Athina";"Athletics";"Athletics Women's 400 metres";"Bronze"
8709;"Klemen Bauer";"M";20;183;72;"Slovenia";"SLO";"2006 Winter";2006;"Winter";"Torino";"Biathlon";"Biathlon Men's 10 kilometres Sprint";NA
12805;"Ivan Havrylovych Bohdan";"M";32;185;108;"Soviet Union";"URS";"1960 Summer";1960;"Summer";"Roma";"Wrestling";"Wrestling Men's Heavyweight, Greco-Roman";"Gold"
16901;"Alma Butia";"F";19;NA;NA;"Yugoslavia";"YUG";"1948 Summer";1948;"Summer";"London";"Athletics";"Athletics Women's 100 metres";NA
20997;"Choi Eun-Suk";"F";20;164;57;"South Korea";"KOR";"1984 Summer";1984;"Summer";"Los Angeles";"Cycling";"Cycling Women's Road Race, Individual";NA
25093;"Georgius Bernardus Damen";"M";20;NA;NA;"Netherlands";"NED";"1908 Summer";1908;"Summer";"London";"Cycling";"Cycling Men's Sprint";NA
29189;"Daniel ""Dan"" Doll";"M";18;182;78;"Canada-2";"CAN";"1988 Winter";1988;"Winter";"Calgary";"Luge";"Luge Mixed (Men)'s Doubles";NA
33285;"Antonio Esteban";"M";NA;NA;NA;"Dominican Republic";"DOM";"1984 Summer";1984;"Summer";"Los Angeles";"Sailing";"Sailing Men's Windsurfer";NA
37381;"Paula Tracey Fryer";"F";23;164;52;"Great Britain";"GBR";"1992 Summer";1992;"Summer";"Barcelona";"Athletics";"Athletics Women's 800 metres";NA
41477;"ngel Gonzlez Castaos";"M";21;169;62;"Spain";"ESP";"1980 Summer";1980;"Summer";"Moskva";"Football";"Football Men's Football";NA
45573;"Jaroslav Hanf";"M";36;NA;NA;"Czechoslovakia";"TCH";"1924 Summer";1924;"Summer";"Paris";"Equestrianism";"Equestrianism Men's Dressage, Individual";NA
49669;"Amanmyrat Hommadow";"M";19;190;117;"Turkmenistan";"TKM";"2008 Summer";2008;"Summer";"Beijing";"Athletics";"Athletics Men's Hammer Throw";NA
53765;"Haakon Andreas Jansen";"M";23;NA;NA;"Norway";"NOR";"1924 Summer";1924;"Summer";"Paris";"Athletics";"Athletics Men's 3,000 metres, Team";NA
57861;"Igor Kashurov";"M";21;194;91;"Soviet Union";"URS";"1972 Summer";1972;"Summer";"Munich";"Rowing";"Rowing Men's Coxless Fours";NA
