3587;"An Jae-Won";"M";24;162;57;"South Korea";"KOR";"1972 Summer";1972;"Summer";"Munich";"Wrestling";"Wrestling Men's Bantamweight, Freestyle";NA
7683;"rpd Brny";"M";29;171;59;"Hungary";"HUN";"1960 Summer";1960;"Summer";"Roma";"Fencing";"Fencing Men's epee, Team";NA
11779;"Abby Bishop";"F";23;189;85;"Australia";"AUS";"2012 Summer";2012;"Summer";"London";"Basketball";"Basketball Women's Basketball";"Bronze"
15875;"Ladislav Brek";"M";NA;NA;NA;"Czechoslovakia";"TCH";"1928 Summer";1928;"Summer";"Amsterdam";"Cycling";"Cycling Men's Road Race, Individual";NA
19971;"Guillaume Chastagnol";"M";23;174;69;"France";"FRA";"1998 Winter";1998;"Winter";"Nagano";"Snowboarding";"Snowboarding Men's Halfpipe";NA
24067;"Dra Csabai";"F";23;175;63;"Hungary";"HUN";"2012 Summer";2012;"Summer";"London";"Water Polo";"Water Polo Women's Water Polo";NA
28163;"Mamadou Diaw Diallo";"M";NA;NA;NA;"Guinea";"GUI";"1988 Summer";1988;"Summer";"Seoul";"Wrestling";"Wrestling Men's Welterweight, Freestyle";NA
32259;"Josef David Ossian Elgstrm";"M";52;NA;NA;"Sweden";"SWE";"1936 Summer";1936;"Summer";"Berlin";"Art Competitions";"Art Competitions Mixed Painting, Paintings";NA
36355;"Gavin Forsyth";"M";22;183;83;"Great Britain";"GBR";"1992 Winter";1992;"Winter";"Albertville";"Alpine Skiing";"Alpine Skiing Men's Super G";NA
40451;"Emanuel David ""Manu"" Ginbili Maccari";"M";27;198;91;"Argentina";"ARG";"2004 Summer";2004;"Summer";"Athina";"Basketball";"Basketball Men's Basketball";"Gold"
44547;"Olga Hachatryan";"F";16;163;63;"Turkmenistan";"TKM";"2008 Summer";2008;"Summer";"Beijing";"Swimming";"Swimming Women's 100 metres Freestyle";NA
48643;"Ramy Hilmi Muhammad Ibrahim El-Awady";"M";22;165;49;"Egypt";"EGY";"2012 Summer";2012;"Summer";"London";"Boxing";"Boxing Men's Light-Flyweight";NA
52739;"Matteo Ivaldi";"M";25;175;70;"Italy";"ITA";"1996 Summer";1996;"Summer";"Atlanta";"Sailing";"Sailing Men's Two Person Dinghy";NA
56835;"Jrgen Kalfelder";"M";24;185;80;"Germany";"GER";"1964 Summer";1964;"Summer";"Tokyo";"Athletics";"Athletics Men's 400 metres";NA
60931;"Theodor ""Theo"" Kitt";"M";39;NA;NA;"Germany-2";"GER";"1952 Winter";1952;"Winter";"Oslo";"Bobsleigh";"Bobsleigh Men's Two";NA
65027;"Paul Kunze";"M";19;NA;NA;"Netherlands";"NED";"1924 Summer";1924;"Summer";"Paris";"Fencing";"Fencing Men's Foil, Individual";NA
69123;"Annick Level";"F";21;165;69;"France";"FRA";"1964 Summer";1964;"Summer";"Tokyo";"Fencing";"Fencing Women's Foil, Individual";NA
73219;"Henry ""Harry"" Madison";"M";22;184;87;"Canada";"CAN";"1932 Summer";1932;"Summer";"Los Angeles";"Wrestling";"Wrestling Men's Light-Heavyweight, Freestyle";NA
77315;"Jason McCartney";"M";30;183;70;"United States";"USA";"2004 Summer";2004;"Summer";"Athina";"Cycling";"Cycling Men's Road Race, Individual";NA
81411;"Paulino Monsalve Ballesteros";"M";21;180;72;"Spain";"ESP";"1980 Summer";1980;"Summer";"Moskva";"Hockey";"Hockey Men's Hockey";"Silver"
85507;"Kiley Neushul";"F";23;173;65;"United States";"USA";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Water Polo";"Water Polo Women's Water Polo";"Gold"
89603;"Norman Emilio Ortiz Ortiz";"M";21;184;84;"Colombia";"COL";"1968 Summer";1968;"Summer";"Mexico City";"Football";"Football Men's Football";NA
93699;"Oleksandr Ivanovych Perviy";"M";19;167;74;"Soviet Union";"URS";"1980 Summer";1980;"Summer";"Moskva";"Weightlifting";"Weightlifting Men's Middleweight";"Silver"
97795;"Qu Jingyu";"M";21;187;88;"China";"CHN";"2008 Summer";2008;"Summer";"Beijing";"Swimming";"Swimming Men's 200 metres Individual Medley";NA
101891;"Pieter Anthonie Roelofsen";"M";24;183;NA;"Netherlands";"NED";"1932 Summer";1932;"Summer";"Los Angeles";"Rowing";"Rowing Men's Coxless Pairs";NA
105987;"Emiko Sato";"F";26;158;53;"Japan";"JPN";"1998 Winter";1998;"Winter";"Nagano";"Cross Country Skiing";"Cross Country Skiing Women's 15 kilometres";NA
110083;"Arthur David ""Art"" Shurlock";"M";27;176;75;"United States";"USA";"1964 Summer";1964;"Summer";"Tokyo";"Gymnastics";"Gymnastics Men's Individual All-Around";NA
114179;"Cristina Stahl";"F";30;169;58;"Romania";"ROU";"2008 Summer";2008;"Summer";"Beijing";"Fencing";"Fencing Women's Foil, Individual";NA
118275;"Tan Ling Houw";"M";26;NA;NA;"Indonesia";"INA";"1956 Summer";1956;"Summer";"Melbourne";"Football";"Football Men's Football";NA
122371;"Takemitsu Tsubokawa";"M";NA;160;56;"Japan";"JPN";"1932 Winter";1932;"Winter";"Lake Placid";"Cross Country Skiing";"Cross Country Skiing Men's 18 kilometres";NA
126467;"Olga Lidia Vigil Gmez";"F";21;175;65;"Cuba";"CUB";"1992 Summer";1992;"Summer";"Barcelona";"Basketball";"Basketball Women's Basketball";NA
130563;"Charles Sneed Williams";"M";41;NA;NA;"Great Britain";"GBR";"1924 Summer";1924;"Summer";"Paris";"Art Competitions";"Art Competitions Mixed Literature";NA
134659;"Zhao Ruirui";"F";22;196;70;"China";"CHN";"2004 Summer";2004;"Summer";"Athina";"Volleyball";"Volleyball Women's Volleyball";"Gold"
