4045;"Marta Andrade Vidal";"F";21;162;48;"Spain";"ESP";"1994 Winter";1994;"Winter";"Lillehammer";"Figure Skating";"Figure Skating Women's Singles";NA
8141;"Toms Barris Ballestn";"M";30;171;67;"Spain";"ESP";"1960 Summer";1960;"Summer";"Roma";"Athletics";"Athletics Men's 1,500 metres";NA
12237;"Bernadeta Grayna  Blechacz";"F";24;167;62;"Poland";"POL";"1980 Summer";1980;"Summer";"Moskva";"Athletics";"Athletics Women's Javelin Throw";NA
16333;"Horst Hardy Bulau";"M";17;177;68;"Canada";"CAN";"1980 Winter";1980;"Winter";"Lake Placid";"Ski Jumping";"Ski Jumping Men's Normal Hill, Individual";NA
20429;"Sergey Pavlovich Cherepanov";"M";20;181;70;"Kazakhstan";"KAZ";"2006 Winter";2006;"Winter";"Torino";"Cross Country Skiing";"Cross Country Skiing Men's Sprint";NA
24525;"Pawe Czapiewski";"M";30;178;57;"Poland";"POL";"2008 Summer";2008;"Summer";"Beijing";"Athletics";"Athletics Men's 800 metres";NA
28621;"Zoi Dimoskhaki";"F";15;175;63;"Greece";"GRE";"2000 Summer";2000;"Summer";"Sydney";"Swimming";"Swimming Women's 200 metres Freestyle";NA
32717;"Paul N. Enquist";"M";28;198;93;"United States";"USA";"1984 Summer";1984;"Summer";"Los Angeles";"Rowing";"Rowing Men's Double Sculls";"Gold"
36813;"Antoni Marian Franz";"M";31;183;75;"Poland";"POL";"1936 Summer";1936;"Summer";"Berlin";"Fencing";"Fencing Men's epee, Individual";NA
40909;"Peter Gbel (-Brandt)";"M";22;174;71;"Germany-3";"GER";"1964 Winter";1964;"Winter";"Innsbruck";"Figure Skating";"Figure Skating Mixed Pairs";NA
45005;"Evelyne Ruth Hall (Davidson-, -Adams, -Butler)";"F";22;167;58;"United States";"USA";"1932 Summer";1932;"Summer";"Los Angeles";"Athletics";"Athletics Women's 80 metres Hurdles";"Silver"
49101;"Charles Teilmann Hoff";"M";21;182;68;"Norway";"NOR";"1924 Summer";1924;"Summer";"Paris";"Athletics";"Athletics Men's 400 metres";NA
53197;"Lodewijk ""Lo"" Jacobs";"M";25;178;75;"Netherlands";"NED";"1976 Summer";1976;"Summer";"Montreal";"Canoeing";"Canoeing Men's Kayak Doubles, 500 metres";NA
57293;"Jaroslav Kantrek";"M";22;183;77;"Czechoslovakia";"TCH";"1976 Summer";1976;"Summer";"Montreal";"Basketball";"Basketball Men's Basketball";NA
61389;"Marius Pieter Louis Klumperbeek";"M";22;163;51;"Netherlands";"NED";"1960 Summer";1960;"Summer";"Roma";"Rowing";"Rowing Men's Coxed Fours";NA
