844;"William Edward ""Willie"" Adams";"M";19;198;93;"United States";"USA";"1992 Summer";1992;"Summer";"Barcelona";"Baseball";"Baseball Men's Baseball";NA
4940;"Walter Dario Arciprete";"M";21;185;80;"Argentina";"ARG";"2000 Summer";2000;"Summer";"Sydney";"Swimming";"Swimming Men's 200 metres Individual Medley";NA
9036;"Clarke Briar Beard";"M";23;NA;NA;"United States";"USA";"1908 Summer";1908;"Summer";"London";"Athletics";"Athletics Men's 800 metres";NA
13132;"Dmytro Bondarenko";"M";20;175;74;"Soviet Union";"URS";"1956 Summer";1956;"Summer";"Melbourne";"Athletics";"Athletics Men's Long Jump";NA
17228;"Victor Antoine Jules Cadet";"M";21;NA;NA;"Tritons Lillois-2";"FRA";"1900 Summer";1900;"Summer";"Paris";"Water Polo";"Water Polo Men's Water Polo";NA
21324;"Bjrn Christoffersen";"M";25;190;90;"Norway";"NOR";"1952 Summer";1952;"Summer";"Helsinki";"Rowing";"Rowing Men's Coxed Fours";NA
25420;"Dary Batista de Oliveira";"M";19;171;NA;"Brazil";"BRA";"1960 Summer";1960;"Summer";"Roma";"Football";"Football Men's Football";NA
29516;"Jason Dorland";"M";24;193;84;"Canada";"CAN";"1988 Summer";1988;"Summer";"Seoul";"Rowing";"Rowing Men's Coxed Eights";NA
33612;"Sven Per Anders Faager";"M";25;186;76;"Sweden";"SWE";"1972 Summer";1972;"Summer";"Munich";"Athletics";"Athletics Men's 400 metres";NA
37708;"Yoshio Furukawa";"M";22;NA;NA;"Japan";"JPN";"1956 Summer";1956;"Summer";"Melbourne";"Football";"Football Men's Football";NA
41804;"Ian Sydney Gordon";"M";22;185;74;"Canada";"CAN";"1972 Summer";1972;"Summer";"Munich";"Athletics";"Athletics Men's 4 x 400 metres Relay";NA
45900;"Hideharu Hara";"M";23;185;84;"Japan";"JPN";"1988 Summer";1988;"Summer";"Seoul";"Volleyball";"Volleyball Men's Volleyball";NA
49996;"Horst Hrnlein";"M";22;184;82;"East Germany";"GDR";"1968 Winter";1968;"Winter";"Grenoble";"Luge";"Luge Men's Singles";NA
54092;"Malek Al-Jaziri";"M";28;185;82;"Tunisia";"TUN";"2012 Summer";2012;"Summer";"London";"Tennis";"Tennis Men's Singles";NA
58188;"Keiichi Kawanaka";"M";19;179;64;"Japan";"JPN";"1992 Summer";1992;"Summer";"Barcelona";"Swimming";"Swimming Men's 100 metres Butterfly";NA
62284;"Vitaliy Oleksiyovych Kolpakov";"M";24;194;87;"Ukraine";"UKR";"1996 Summer";1996;"Summer";"Atlanta";"Athletics";"Athletics Men's Decathlon";NA
66380;"Andreas ""Al"" Lang";"M";30;186;80;"Germany";"GER";"2010 Winter";2010;"Winter";"Vancouver";"Curling";"Curling Men's Curling";NA
70476;"Hana Likov";"F";16;165;55;"Czechoslovakia";"TCH";"1968 Summer";1968;"Summer";"Mexico City";"Gymnastics";"Gymnastics Women's Individual All-Around";NA
74572;"Marcus ""Mark"" Mansfield";"M";30;195;98;"Ireland";"IRL";"1992 Summer";1992;"Summer";"Barcelona";"Sailing";"Sailing Mixed Two Person Keelboat";NA
78668;"Jean-Paul Mendy";"M";22;182;75;"France";"FRA";"1996 Summer";1996;"Summer";"Atlanta";"Boxing";"Boxing Men's Middleweight";NA
82764;"Michael Mrkv (-Christiansen)";"M";23;183;69;"Denmark";"DEN";"2008 Summer";2008;"Summer";"Beijing";"Cycling";"Cycling Men's Team Pursuit, 4,000 metres";"Silver"
86860;"Nils Gunnar Nordahl";"M";26;NA;NA;"Sweden";"SWE";"1948 Summer";1948;"Summer";"London";"Football";"Football Men's Football";"Gold"
90956;"Kharalambos Panagidis";"M";23;NA;NA;"Cyprus";"CYP";"1992 Summer";1992;"Summer";"Barcelona";"Swimming";"Swimming Men's 100 metres Breaststroke";NA
95052;"Jos Lus Franca Abranches Pinto";"M";28;181;69;"Portugal";"POR";"1984 Summer";1984;"Summer";"Los Angeles";"Athletics";"Athletics Men's 20 kilometres Walk";NA
99148;"Yanes Raubaba";"M";26;172;61;"Indonesia";"INA";"2000 Summer";2000;"Summer";"Sydney";"Athletics";"Athletics Men's 100 metres";NA
103244;"Igor Aleksandrovich Rudakov";"M";25;187;98;"Soviet Union";"URS";"1960 Summer";1960;"Summer";"Roma";"Rowing";"Rowing Men's Coxed Pairs";"Silver"
107340;"Hans W. Schchlin";"M";35;NA;NA;"Switzerland";"SUI";"1928 Summer";1928;"Summer";"Amsterdam";"Rowing";"Rowing Men's Coxed Pairs";"Gold"
111436;"Jan Sitek";"M";27;176;75;"Poland";"POL";"1980 Summer";1980;"Summer";"Moskva";"Hockey";"Hockey Men's Hockey";NA
115532;"Samantha Jane Stosur";"F";20;175;68;"Australia";"AUS";"2004 Summer";2004;"Summer";"Athina";"Tennis";"Tennis Women's Singles";NA
119628;"Abdoulaye Thiam";"M";24;183;NA;"Senegal";"SEN";"2008 Summer";2008;"Summer";"Beijing";"Fencing";"Fencing Men's Sabre, Individual";NA
123724;"Marcela Vchov";"F";19;161;52;"Czechoslovakia";"TCH";"1972 Summer";1972;"Summer";"Munich";"Gymnastics";"Gymnastics Women's Individual All-Around";NA
127820;"Barclay John Wade";"M";20;180;83;"Australia";"AUS";"1964 Summer";1964;"Summer";"Tokyo";"Rowing";"Rowing Men's Double Sculls";NA
131916;"Jerzy Wybieralski";"M";25;175;73;"Poland";"POL";"1980 Summer";1980;"Summer";"Moskva";"Hockey";"Hockey Men's Hockey";NA
