957;"Sammi Adjei";"M";18;NA;NA;"Ghana";"GHA";"1992 Summer";1992;"Summer";"Barcelona";"Football";"Football Men's Football";"Bronze"
5053;"Pol Arias Dourdet";"M";19;175;80;"Andorra";"AND";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Swimming";"Swimming Men's 400 metres Freestyle";NA
9149;"Azouz Bechir";"M";24;160;63;"Tunisia";"TUN";"1960 Summer";1960;"Summer";"Roma";"Boxing";"Boxing Men's Light-Welterweight";NA
13245;"Morgane Bonnefoy";"F";23;164;68;"France";"FRA";"2014 Winter";2014;"Winter";"Sochi";"Luge";"Luge Women's Singles";NA
17341;"Selim akir";"M";NA;NA;NA;"Turkey";"TUR";"1948 Summer";1948;"Summer";"London";"Equestrianism";"Equestrianism Men's Jumping, Individual";NA
21437;"Iryna Volodymyrivna Chunykhovska";"F";21;160;60;"Soviet Union";"URS";"1988 Summer";1988;"Summer";"Seoul";"Sailing";"Sailing Women's Two Person Dinghy";"Bronze"
25533;"Davaasambuugiin Dorjbat";"M";21;NA;NA;"Mongolia";"MGL";"1992 Summer";1992;"Summer";"Barcelona";"Judo";"Judo Men's Half-Middleweight";NA
29629;"Roman Dostl";"M";31;177;72;"Czech Republic";"CZE";"2002 Winter";2002;"Winter";"Salt Lake City";"Biathlon";"Biathlon Men's 10 kilometres Sprint";NA
33725;"Carl Vilhelm Fagerberg";"M";53;NA;NA;"Sweden";"SWE";"1932 Summer";1932;"Summer";"Los Angeles";"Art Competitions";"Art Competitions Mixed Sculpturing, Statues";NA
37821;"Piotr Gabrych";"M";32;197;95;"Poland";"POL";"2004 Summer";2004;"Summer";"Athina";"Volleyball";"Volleyball Men's Volleyball";NA
41917;"Jerzy Grski";"M";27;171;69;"Poland";"POL";"1956 Summer";1956;"Summer";"Melbourne";"Canoeing";"Canoeing Men's Kayak Doubles, 1,000 metres";NA
46013;"Hugo James Hardy, Jr.";"M";26;NA;NA;"Germany";"GER";"1904 Summer";1904;"Summer";"St. Louis";"Tennis";"Tennis Men's Singles";NA
50109;"Henryk Horwat";"M";24;178;77;"Poland";"POL";"1980 Summer";1980;"Summer";"Moskva";"Hockey";"Hockey Men's Hockey";NA
54205;"Ana Jelavi (Rado-)";"F";31;172;63;"Croatia";"CRO";"2012 Summer";2012;"Summer";"London";"Basketball";"Basketball Women's Basketball";NA
58301;"Sergey Kaznacheyev";"M";23;NA;NA;"Kazakhstan";"KAZ";"1998 Winter";1998;"Winter";"Nagano";"Speed Skating";"Speed Skating Men's 1,500 metres";NA
62397;"Pavel Kondr";"M";26;182;76;"Czechoslovakia";"TCH";"1968 Summer";1968;"Summer";"Mexico City";"Cycling";"Cycling Men's Team Pursuit, 4,000 metres";NA
66493;"Harold Arthur Langley";"M";20;NA;NA;"Great Britain";"GBR";"1924 Summer";1924;"Summer";"Paris";"Athletics";"Athletics Men's Triple Jump";NA
70589;"Liu Hsin-Hung";"M";18;163;47;"Chinese Taipei";"TPE";"1988 Summer";1988;"Summer";"Seoul";"Boxing";"Boxing Men's Light-Flyweight";NA
74685;"Rodney John ""Rod"" Mapstone";"M";26;176;76;"Australia";"AUS";"1996 Summer";1996;"Summer";"Atlanta";"Athletics";"Athletics Men's 100 metres";NA
78781;"Carlos Luciano ""Menta"" Ertel";"M";21;185;94;"Brazil";"BRA";"1996 Summer";1996;"Summer";"Atlanta";"Handball";"Handball Men's Handball";NA
82877;"Camille-Marie Manuella Muffat";"F";18;183;71;"France";"FRA";"2008 Summer";2008;"Summer";"Beijing";"Swimming";"Swimming Women's 4 x 200 metres Freestyle Relay";NA
86973;"Fredrik Jan Elis Norrena";"M";32;183;86;"Finland";"FIN";"2006 Winter";2006;"Winter";"Torino";"Ice Hockey";"Ice Hockey Men's Ice Hockey";"Silver"
91069;"Serge Panizza";"M";25;180;76;"France";"FRA";"1968 Summer";1968;"Summer";"Mexico City";"Fencing";"Fencing Men's Sabre, Individual";NA
95165;"Jzsef Piroska";"M";21;NA;NA;"Hungary";"HUN";"1952 Winter";1952;"Winter";"Oslo";"Alpine Skiing";"Alpine Skiing Men's Giant Slalom";NA
99261;"Rosen Raychev";"M";33;178;72;"Bulgaria";"BUL";"2000 Summer";2000;"Summer";"Sydney";"Equestrianism";"Equestrianism Mixed Jumping, Individual";NA
103357;"Herbert Hans Ruhl";"M";NA;NA;NA;"Germany";"GER";"1936 Summer";1936;"Summer";"Berlin";"Art Competitions";"Art Competitions Mixed Architecture, Unknown Event";NA
107453;"Jie Schpp (Shi-)";"F";28;174;63;"Germany";"GER";"1996 Summer";1996;"Summer";"Atlanta";"Table Tennis";"Table Tennis Women's Singles";NA
111549;"Amund Martin Sjbrend";"M";23;180;77;"Norway";"NOR";"1976 Winter";1976;"Winter";"Innsbruck";"Speed Skating";"Speed Skating Men's 5,000 metres";NA
